
Thunder Bay (63203) 
Hourly Fine Particulate Matter [PM2.5] Concentrations 
From,January 1 2017  
To,December 31 2017 EST 
Station,Thunder Bay (63203)
Address,421 James St. S.
Latitude,48.379389
Longitude,-89.290167
Air Intake Height,15 metres 
Elevation,192 metres 
Pollutant,Fine Particulate Matter [PM2.5]
Method,SHARP 5030 operated 35% RH
Unit, micrograms per cubic metre (micrograms/m3)
Remarks, -999 for missing data. 9999 for invalid data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Fine Particulate Matter,2017-05-31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,2,
63203,Fine Particulate Matter,2017-06-01,2,2,4,2,2,1,3,2,2,2,1,1,2,3,2,2,3,3,5,11,24,18,12,9,
63203,Fine Particulate Matter,2017-06-02,4,3,4,4,8,7,8,4,4,4,4,3,6,3,2,2,4,2,6,11,4,4,3,2,
63203,Fine Particulate Matter,2017-06-03,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,5,4,6,
63203,Fine Particulate Matter,2017-06-04,6,7,7,10,8,2,7,4,5,8,8,5,4,6,2,2,3,5,5,5,5,6,10,13,
63203,Fine Particulate Matter,2017-06-05,15,15,12,9,9,10,29,9,5,2,0,0,0,0,0,1,0,0,0,1,1,4,7,4,
63203,Fine Particulate Matter,2017-06-06,4,4,3,3,4,3,4,3,8,9,7,10,10,8,6,2,2,1,1,3,2,3,7,7,
63203,Fine Particulate Matter,2017-06-07,11,7,12,6,6,6,7,7,5,3,14,5,3,2,1,2,2,2,2,3,5,5,5,4,
63203,Fine Particulate Matter,2017-06-08,6,5,5,7,10,8,8,7,6,13,15,13,12,11,10,9,6,7,7,10,9,10,10,13,
63203,Fine Particulate Matter,2017-06-09,18,23,22,12,11,10,10,5,4,3,3,5,4,2,2,2,2,2,2,4,4,5,3,6,
63203,Fine Particulate Matter,2017-06-10,8,5,4,4,4,2,2,2,2,3,4,4,5,6,6,6,8,11,9,1,1,1,1,1,
63203,Fine Particulate Matter,2017-06-11,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,
63203,Fine Particulate Matter,2017-06-12,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,
63203,Fine Particulate Matter,2017-06-13,1,2,2,2,3,3,4,4,3,2,3,2,2,3,4,5,4,6,4,4,4,8,4,6,
63203,Fine Particulate Matter,2017-06-14,4,12,13,7,3,4,3,2,3,4,3,4,5,5,4,5,6,5,6,7,7,5,5,5,
63203,Fine Particulate Matter,2017-06-15,7,10,16,14,10,10,12,10,10,9,3,2,2,2,3,3,4,4,5,3,4,20,10,4,
63203,Fine Particulate Matter,2017-06-16,5,7,8,7,7,8,7,4,6,5,6,5,4,3,2,1,2,3,2,2,4,6,7,10,
